2024-06-16 14:21:30.396 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-16 16:18:59.521 | SUCCESS  | __main__:<module>:175 - 检索成功，检索的长度1
2024-06-16 16:19:14.434 | SUCCESS  | __main__:<module>:181 - 生成答案成功，答案数量为1
2024-06-16 16:19:14.436 | SUCCESS  | __main__:<module>:184 - 文件成功写入test5.jsonl
2024-06-16 16:42:54.268 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-16 16:42:54.268 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-16 16:45:46.589 | SUCCESS  | __main__:<module>:141 - 生成索引成功
2024-06-16 16:45:46.592 | SUCCESS  | __main__:<module>:151 - 读取问题成功
2024-06-16 16:45:50.617 | INFO     | __main__:<module>:167 - topk = 10
2024-06-16 16:45:51.231 | SUCCESS  | __main__:<module>:175 - 检索成功，检索的长度1
2024-06-16 16:45:58.986 | SUCCESS  | __main__:<module>:181 - 生成答案成功，答案数量为1
2024-06-16 16:45:58.988 | SUCCESS  | __main__:<module>:184 - 文件成功写入test5.jsonl
2024-06-16 17:10:19.833 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-16 17:10:19.834 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-16 17:11:02.593 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-16 17:11:02.593 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-16 17:13:29.235 | SUCCESS  | __main__:<module>:141 - 生成索引成功
2024-06-16 17:13:29.238 | SUCCESS  | __main__:<module>:151 - 读取问题成功
2024-06-16 17:13:29.238 | INFO     | __main__:<module>:167 - topk = 15
2024-06-16 17:13:29.847 | SUCCESS  | __main__:<module>:175 - 检索成功，检索的长度1
2024-06-16 17:13:37.349 | SUCCESS  | __main__:<module>:181 - 生成答案成功，答案数量为1
2024-06-16 17:13:37.351 | SUCCESS  | __main__:<module>:184 - 文件成功写入test5.jsonl
2024-06-16 17:19:45.804 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-16 17:19:45.805 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-16 17:20:02.918 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-16 17:20:02.918 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-16 17:32:14.766 | SUCCESS  | __main__:<module>:141 - 生成索引成功
2024-06-16 17:32:14.836 | SUCCESS  | __main__:<module>:151 - 读取问题成功
2024-06-16 17:32:47.154 | INFO     | __main__:<module>:167 - topk = 15
2024-06-16 17:32:47.766 | SUCCESS  | __main__:<module>:175 - 检索成功，检索的长度103
2024-06-16 17:39:53.247 | SUCCESS  | __main__:<module>:181 - 生成答案成功，答案数量为103
2024-06-16 17:44:01.397 | SUCCESS  | __main__:<module>:184 - 文件成功写入test5.jsonl
