2024-06-12 16:53:49.594 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-12 21:07:31.738 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-12 21:07:34.039 | SUCCESS  | __main__:<module>:143 - 读取数据成功
2024-06-12 21:13:34.537 | SUCCESS  | __main__:<module>:147 - 生成索引成功
2024-06-12 21:13:34.539 | SUCCESS  | __main__:<module>:152 - 读取问题成功
2024-06-12 21:13:34.597 | SUCCESS  | __main__:<module>:163 - 检索成功，检索的长度1
2024-06-12 21:14:36.965 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-12 21:14:36.965 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-12 21:14:38.787 | SUCCESS  | __main__:<module>:143 - 读取数据成功
2024-06-12 21:14:40.707 | SUCCESS  | __main__:<module>:147 - 生成索引成功
2024-06-12 21:14:40.710 | SUCCESS  | __main__:<module>:152 - 读取问题成功
2024-06-12 21:15:02.281 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-12 21:15:02.281 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-12 21:15:04.117 | SUCCESS  | __main__:<module>:143 - 读取数据成功
2024-06-12 21:15:05.477 | SUCCESS  | __main__:<module>:147 - 生成索引成功
2024-06-12 21:15:05.479 | SUCCESS  | __main__:<module>:152 - 读取问题成功
2024-06-12 21:15:06.262 | SUCCESS  | __main__:<module>:163 - 检索成功，检索的长度103
2024-06-12 21:16:45.583 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-12 21:16:45.583 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-12 21:16:47.506 | SUCCESS  | __main__:<module>:143 - 读取数据成功
2024-06-12 21:16:49.172 | SUCCESS  | __main__:<module>:147 - 生成索引成功
2024-06-12 21:16:49.175 | SUCCESS  | __main__:<module>:152 - 读取问题成功
2024-06-12 21:16:50.289 | SUCCESS  | __main__:<module>:161 - 检索成功，检索的长度103
2024-06-12 21:23:15.737 | SUCCESS  | __main__:<module>:165 - 生成答案成功，答案数量为103
2024-06-12 21:23:15.743 | SUCCESS  | __main__:<module>:167 - 文件成功写入test.jsonl
2024-06-12 21:45:34.639 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-12 21:45:34.639 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-12 21:45:51.916 | SUCCESS  | __main__:<module>:143 - 读取数据成功
2024-06-12 21:45:53.710 | SUCCESS  | __main__:<module>:147 - 生成索引成功
2024-06-12 21:45:53.713 | SUCCESS  | __main__:<module>:152 - 读取问题成功
2024-06-12 21:45:54.835 | SUCCESS  | __main__:<module>:161 - 检索成功，检索的长度103
2024-06-12 21:46:11.862 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-12 21:46:11.863 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-12 21:46:13.691 | SUCCESS  | __main__:<module>:143 - 读取数据成功
2024-06-12 21:46:15.244 | SUCCESS  | __main__:<module>:147 - 生成索引成功
2024-06-12 21:46:15.247 | SUCCESS  | __main__:<module>:152 - 读取问题成功
2024-06-12 21:46:16.376 | SUCCESS  | __main__:<module>:161 - 检索成功，检索的长度103
2024-06-12 22:04:58.951 | SUCCESS  | __main__:<module>:165 - 生成答案成功，答案数量为103
2024-06-12 22:04:58.958 | SUCCESS  | __main__:<module>:167 - 文件成功写入test3.jsonl
